geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
gha,Ghana,618.08,648.01,678.13,702.83,731.28,764.57,796.76,829.28,858.16,891.16,929.35,973.55,1006.38,1042.37,1073.83,1111.86,1148.31,1186.08,1206.27,1238.6,1275.82,1319.53,1360.57,1424.79,1495.6,1552.69,1635.72,1716.39,1808.96,1890.85,1962.84,2021.66
gin,Guinea,214.04,223.65,233.52,243.53,254.43,263.65,272.49,281.41,294.06,305.45,313.5,322.18,328.52,335.09,341.33,346.92,355.42,361.87,368.24,373.68,381.22,390.11,398.96,411.84,427.13,437.57,451.51,463.39,478.24,493.5,508.28,521.18
gmb,Gambia,10.99,11.72,12.6,13.14,13.65,15.35,15.56,16.31,17.86,19.71,19.85,20.36,21.15,22.77,25.38,26.87,27.37,28.59,28.73,30.22,30.68,28.96,30.2,32.78,37.33,37.35,41.55,45.76,47.47,51.08,52.09,53.74
gnb,Guinea-Bissau,33.84,34.73,35.65,36.63,37.63,38.6,39.53,40.59,41.79,43.02,44.26,45.47,46.97,48.6,50.56,51.99,53.8,55.62,57.25,59.18,61.11,62.88,64.87,67.78,70.77,73.34,76.7,79.95,83.74,87.22,89.94,92.33
gnq,Equatorial Guinea,16.32,16.85,17.2,17.99,18.59,19.62,20.77,21.25,22.24,23.7,25.1,26.35,27.54,29.72,31.89,33.65,35.54,37.08,39.31,42.64,46.17,48.93,49.98,50.7,52.47,56.21,60.83,64.44,68.42,72.91,76.8,80.07
grc,Greece,1988.36,2030.26,2108.09,2168.76,2216.23,2231.45,2251.95,2224.35,2217.53,2281.6,2362.71,2450.03,2495.69,2481.27,2545.44,2538.23,2511.86,2442.59,2503.23,2336.13,2345.06,2270.41,2349.76,2414.89,2525.7,2605.69,2704.38,2712.1,2746.68,2784.4,2831.97,2880.78
grd,Grenada,10.2,10.02,10.24,10.84,10.73,10.29,10.26,10.04,10.01,9.88,10.13,10.46,11.27,11.45,11.41,11.59,12.48,13.38,13.74,14.21,14.9,15.44,16.28,16.5,16.82,17.13,17.19,17.28,17.86,18.45,18.58,18.42
gtm,Guatemala,112.41,119.43,142.48,157.66,169.18,149.19,141.44,162.27,187.78,186.82,227.25,210.88,228.59,239.27,265.84,283.01,296.71,282.22,297.76,337.94,366.96,380.73,400.51,425.45,435.82,475.92,490.51,510.27,538.08,547.16,527.55,544.7
guy,Guyana,44.16,42.55,40.06,42.34,39.99,41.95,46.91,48.1,48.44,52.17,68.1,59.26,60.51,57.78,58.93,61.12,60.08,66.4,67.78,67.09,71.48,74.24,79.25,81.22,83.77,84.38,85.66,87.11,88.46,89.5,90.01,89.62
hnd,Honduras,90.03,91.83,103.01,105.57,109.3,126.33,136.49,143.1,149.72,157.22,165.47,174.42,184.09,194.44,205.58,216.51,227.45,238.27,251.21,265.04,281.54,298.8,318.19,331.99,348.04,363.82,380.75,399.19,415.95,435.25,452.61,467.66
hrv,Croatia,822.79,886.27,849.92,851.7,850.16,820.8,855.31,903.41,923.74,937.96,901.01,888.82,887.29,929.42,951.06,976.58,942.43,959.16,973.47,923.76,980.13,1011.93,1056.34,1064.83,1097.55,1121.81,1019.77,981.21,961.06,938.84,929.85,937.05
hti,Haiti,388.93,392.99,408.45,421.38,433.7,448.54,460.33,480.01,485.06,514.32,535.5,561.55,582.81,608.84,636.04,660.12,677.89,699.54,717.81,737.91,744.27,772.72,799.26,825.75,856.12,887.06,916.95,946.53,982.99,1018.9,1043.79,1067.97
hun,Hungary,2133.43,2169.19,2276.59,2370.63,2358.17,2356.3,2338.94,2403.21,2451.54,2479.89,2398.35,2347.45,2330.53,2380.28,2340.92,2288.17,2215.53,2264.46,2229.51,2265.11,2181.06,2225.87,2224.91,2242.23,2229.68,2337.51,2260.64,2262.67,2246.74,2246.71,2246.19,2187.6
idn,Indonesia,7935.93,8365.25,8777.6,9258.68,9705.45,10159.07,10637.65,11135.35,11637.78,12155.35,12650.79,13103.34,13466.97,13916.62,14323.18,14755.87,15240.16,15789.6,16332.38,16911.87,17500.34,18269.73,18820.47,19501.66,20190.52,20805.88,21690.96,22600.74,23471.44,24390.92,25067.43,25686.71
ind,India,22068.28,22818.57,23754.95,24413.95,25636.61,26812.02,27793.12,28848.7,29967.77,30792.96,31653.17,32716.71,33922.57,34899.81,35609.98,36912.02,38734.77,40628.66,42254.93,44079.91,46403.97,48755.41,51629.67,55227.26,58268.54,62354.13,65827.17,69842.22,73071.74,75377.73,77001.49,78878.68
irl,Ireland,701.56,716.15,725.47,700.58,673.84,676.88,675.76,682.82,678.72,695.42,715.95,723.54,701.06,709.45,707.39,711.34,715.78,703.93,742.31,729.26,713.88,735.8,740.07,747.15,755.51,754.05,765.6,753.13,776.25,781.6,739.73,716.7
irn,Iran,912.66,957.55,1002.38,1038.61,1078.53,1118.19,1152.37,1184.57,1215.92,1250.96,1287.16,1327.17,1387.93,1457.06,1539.04,1646.61,1778.48,1912.64,2062.36,2229.02,2406.43,2615.73,2841.21,3069.45,3294.57,3505.48,3675.08,3810.27,3958.19,4118.57,3918.24,4016.68
irq,Iraq,511.28,537.4,566.59,596.79,629.24,662.65,695.19,730.08,762.69,795.73,831.52,867.84,913.54,960.12,1002.91,1046.28,1090.09,1137.06,1190.52,1248.54,1340.1,1433.54,1531.56,1635.23,1703.49,1734.52,1796.09,1875.64,1967.38,2071.23,2169.26,2238.02
isl,Iceland,39.84,37.73,38.68,39.83,39.94,40.62,38.96,40.63,40.58,39.7,39.55,38.99,40.19,39.86,39.93,40.32,40.95,43.94,45.45,44.88,44.34,45.12,46.94,47.94,48.11,49.35,50.31,48.96,47.69,47.82,45.6,51.22
isr,Israel,759.57,821.47,879.91,917.34,964.79,1045.54,1067.15,1080.04,1125.49,1145.86,1135,1129.49,1145.24,1153.38,1141.09,1141.07,1134.81,1155.28,1151.48,1138.46,1123.18,1157.76,1152.16,1192.58,1188.35,1198.65,1228.6,1256.58,1268.66,1298.42,1245.56,1249.22
ita,Italy,13011.3,13215.01,13113.88,13390.68,13416.12,13491.55,13604.08,13417.63,13343.99,13364.62,13627.77,13786.52,13605.18,13457.26,13205.95,13258.27,13403.08,13736.53,13986.53,14050.29,13946.56,13852.7,13854.63,13868.97,14107.79,14396.51,14553.69,14624.05,14813.89,14627.03,14466.76,14470.41
jam,Jamaica,185.35,180.72,188.73,198.26,205.36,214.92,240.02,256.68,261.27,278.2,293.85,305.19,289.55,285.98,279.35,266.86,261.34,270.34,287.2,322.43,327.22,336.98,349,362.9,405.95,418.85,421.68,426.68,433.39,448.44,441.94,454.33
jor,Jordan,108.7,114.15,116.69,126,131.46,140.17,150.3,156.64,163.99,171.82,183.82,194.91,207.82,221.75,243.95,264.51,277.35,274.12,287.87,301.13,318.62,342.97,369.77,396.24,421.82,439.81,462.74,485.87,506.71,538.27,576.33,611.31
