geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
fji,Fiji,119.48,123.29,126.71,130.11,132.47,134.43,137.03,138.83,138.82,143.63,146.5,142.42,144.74,149.89,149.89,155.32,160.82,167.82,175.25,181.06,186.9,193.82,198.69,203.5,208.66,215.1,221.95,228.85,235.09,240.36,245.2,248.91
fra,France,32374.13,33152.55,34330.9,35626.64,36804.17,38404.83,39824.62,40771.32,41814.4,43446.77,44234.18,45014.41,46286.12,47330.96,48622.56,50737.94,53158.68,54101.62,55596.71,56264.73,56198.89,55769.27,56555.93,57673.12,58729.91,60382.7,61496.89,61925.41,61614.05,61393.94,60280.42,58314.05
fsm,"Micronesia, Fed. Sts.",9.71,10.12,10.54,10.97,11.38,11.76,12.11,12.42,12.73,12.96,13.2,13.36,13.53,13.76,14.02,14.36,14.71,15.12,15.52,16.05,16.61,17.09,17.56,18,18.43,18.85,19.23,19.6,20,20.46,20.88,21.26
gab,Gabon,85.87,89.72,92.35,93.4,98.43,103.23,106.84,110.38,114.3,117.35,122.67,128.7,132.01,138.09,141.3,142.46,146.99,151.17,156.54,159.97,162.34,169.18,175.53,181.49,192.19,204.27,215.39,227.3,239.28,253.5,265.15,274.19
gbr,UK,44434.52,44935.78,45519.17,46394.29,46877.88,47257.66,47301.39,47353.61,47659.39,48021.71,48272.34,48093.25,48360.31,48473.15,48613.12,49724.85,50938.65,51319.29,51638.94,50901.83,50471.97,51381.26,51519.55,51239.82,50917.35,51317.34,51657.98,50987.71,51426.5,50931.94,48460.09,49176.73
geo,Georgia,2033.58,1980.21,1933.35,1871.87,1874.94,1962.34,2123.82,2161.59,2124.97,2108.03,2037.9,1991.44,1977.83,1977.39,1813.37,1670.83,1588.78,1570.27,1814.52,1828.69,1793.45,1893.81,1911.85,1869.84,1868.03,2037.96,2220.33,2095.63,2050.31,1966.1,1943.39,1947.24
gha,Ghana,912.39,964.1,1016.02,1058.96,1106.63,1160.66,1213.11,1269.17,1320.82,1380.74,1449.04,1529.12,1588.37,1652.34,1700.74,1753.07,1801.34,1863.1,1903.39,1970.59,2050.43,2139.13,2214.16,2321.81,2450.5,2563.41,2730.19,2888.61,3064.47,3233.59,3404.08,3558.97
gin,Guinea,278.82,291.96,305.44,319.03,333.54,345.6,357.22,369.01,386.51,402.51,413.65,426.88,436.33,446.94,457,466.03,479.7,491.33,502.38,512.56,526.41,541.24,555.13,574.29,599.06,617.54,643.07,667.37,696.26,726.25,758.01,788.53
gmb,Gambia,15.66,16.81,18.17,18.98,19.68,22.14,22.3,23.36,25.69,28.56,28.81,29.72,30.96,33.59,37.77,40.05,40.69,42.66,42.92,45.48,46.43,43.65,45.9,50.27,58.29,58.51,65.91,73.24,76.29,82.94,85.58,89.61
gnb,Guinea-Bissau,44.61,45.9,47.22,48.63,50.08,51.46,52.8,54.38,56.13,57.97,59.89,61.75,64,66.51,69.54,71.94,74.9,77.9,80.61,83.77,86.94,89.94,93.21,97.82,102.7,107.08,112.81,118.58,125.25,131.55,136.82,141.76
gnq,Equatorial Guinea,20.97,21.75,22.29,23.45,24.35,25.91,27.71,28.81,30.61,33.27,35.99,38.67,41.22,45.43,49.62,53.06,56.69,60.11,65.19,72.59,80.54,86.7,89.5,91.31,95.44,103.7,114.1,122.28,131.08,141.11,150.91,159.69
grc,Greece,6032.18,6168.57,6495.31,6742.85,6950.92,7031.66,7201.61,7166.76,7240.27,7464.65,7706.34,7991.8,8200.72,8123.87,8400.95,8445.74,8403.74,8353.35,8468.13,8063.26,8150.59,7773.04,7947.69,7949.99,8059.5,8154.07,8454.12,8359.6,8439.76,8500.99,8642.73,8693.1
grd,Grenada,18.13,18.47,19.26,20.78,21.04,20.41,20.57,20.39,20.67,20.83,21.84,23.09,25.47,26.17,26.1,26.32,28.05,29.95,30.98,32.07,34.02,35.52,37.38,37.77,38.78,39.54,39.95,40.51,42.3,43.85,44.56,44.64
gtm,Guatemala,225.8,245.09,296.32,334.22,365.5,330.28,319.39,374.99,447.78,456.34,563.91,518.71,569.9,602.77,688.18,743.02,794.9,750.54,798.45,914.93,1013.87,1067.27,1115.24,1168.5,1209.17,1346.13,1404.2,1466.47,1560.61,1589.34,1564.45,1636.14
guy,Guyana,74.4,71.26,67.99,72.96,69.44,73.5,83.23,86.12,87.57,96.2,127.04,110.74,114.04,108.11,110.34,114.56,112.03,123.82,126.14,125.48,133.99,139.14,149.25,153.53,159.94,161.78,165.48,169.25,172.77,176.35,180.59,182.93
hnd,Honduras,191.72,196.42,221.74,228.25,237.51,276.31,299.04,318.5,338.96,362.44,386.95,413.01,441,470.07,498.38,524.56,550.18,578.16,612.41,649.47,694.02,737.35,782.89,819.47,863.92,912.1,965.22,1021.74,1075.99,1139.33,1201.8,1260.28
hrv,Croatia,1984.32,2197.45,2116.36,2132.03,2146.76,2096.35,2227.96,2374.46,2440.35,2456.92,2356.81,2348.99,2333.39,2450.81,2545.8,2612.58,2591.15,2679.95,2723.49,2590.85,2776.89,2826.81,2934.01,2981.22,3034.19,3122.3,2836.35,2849.06,2822.73,2780.32,2703.83,2738.21
