geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
dnk,Denmark,97.56,99.46,103.21,100.76,94.83,97.32,98.17,99.27,96.54,98.25,97.08,98.46,99.73,97.05,97.31,98.94,100.15,103.01,105.25,107.79,104.79,99.24,96.21,93.4,92.02,86.98,85.92,82.15,80.09,76.47,74.91,72.22
dom,Dominican Republic,20.9,21,21.25,21.93,21.98,22.64,23.59,24.32,24.82,24.99,25.31,25.91,27.12,28.61,29.71,30.4,31.33,31.82,32.08,32.31,32.55,32.26,32.29,32.22,31.93,31.59,32.12,32.58,32.69,32.46,31.38,31.47
dza,Algeria,15.18,15.19,15.44,15.72,15.88,16.26,16.3,16.42,16.54,17.08,17.62,18.24,19.05,19.98,20.82,21.67,22.33,22.88,23.51,24.07,24.32,24.78,25.09,25.52,25.85,26.16,26.49,27.2,27.95,28.59,28.96,29.42
ecu,Ecuador,15.3,15.97,15.75,15.45,16.3,17.67,20.17,19.74,20.14,20.88,21.59,23.29,23.41,25.11,24.88,25.73,26.66,25.43,26.13,26.79,26.76,24.8,27.58,28.06,27.89,27.72,29.12,29.97,31.56,32.7,30.96,31.35
egy,Egypt,17.19,17.72,18.22,19.31,20.18,20.61,21.83,22.98,23.82,24.6,25.13,27.44,30.95,35.04,38.64,41.57,43.93,44.93,46.2,47.14,47.48,46.72,48.08,47.62,49.88,52.04,52.92,52.73,54.62,56.03,57.48,59.07
eri,Eritrea,21,21.24,21.16,21.21,21.65,22.14,22.61,23.11,23.59,24.18,24.78,24.93,25.53,25.9,26.39,26.56,26.7,26.82,27.04,27.33,27.6,27.84,28.18,28.5,28.91,29.27,29.73,30.19,30.84,31.36,31.85,32.28
esp,Spain,67,67.85,68.9,70.94,72.53,74.5,74.17,74.37,74.28,73.37,72.54,72.92,72.37,72.79,72.51,73.6,75.23,75.89,75.52,73.62,72.46,72.2,70.73,70.69,68.23,67.98,67.62,67.51,67.04,66.01,60.45,62.07
est,Estonia,50.38,54.67,52,54.87,56.43,53.59,51.61,52.49,55.44,53.64,55.57,57.02,54.01,53.65,52.72,54.02,55.08,56.11,56.27,55.12,52.74,57.19,57.05,55.5,54.86,55.92,59.9,55.23,54.56,55.97,55.93,54.28
eth,Ethiopia,20.6,20.55,20.55,20.58,20.79,21.12,21.28,21.36,21.38,21.4,21.35,21.23,20.95,20.76,20.77,20.96,21.11,21.27,21.45,21.66,22.08,22.25,22.49,22.91,23.34,23.55,24.06,24.84,25.51,26.25,26.99,27.58
fin,Finland,73.37,72.73,74.98,75.57,76.5,82.13,82.44,85.04,85.47,86.67,87.8,87.32,87.16,86.78,90.31,92.85,93.27,93.94,93.34,94.05,96.47,94.25,94.9,93.57,90.65,86.89,88.17,89.27,86.29,84.65,82.37,80.66
fji,Fiji,50.46,51.05,51.47,51.87,51.87,51.82,51.92,51.61,50.6,51.11,50.97,48.54,48.01,48.72,47.51,47.76,48.22,49.2,50.36,51.12,51.93,52.98,53.34,53.7,54.17,54.93,55.74,56.54,57.18,57.55,57.8,57.91
fra,France,79.89,81.11,83.13,85.27,87.17,90.18,92.47,93.99,95.36,97.8,97.93,98.14,99.25,100.26,101.73,104.84,108.37,108.47,110.03,109.78,107.97,105.49,105.35,106.21,106.97,108.5,109.07,109.18,107.95,106.37,102.88,98.38
fsm,"Micronesia, Fed. Sts.",35.99,36.82,37.66,38.51,39.28,40,40.44,40.79,41.13,41.25,41.42,41.31,41.23,41.3,41.48,41.94,42.32,42.86,43.41,44.2,45.03,45.65,46.23,46.71,47.15,47.55,47.81,48.06,48.36,48.81,49.16,49.31
gab,Gabon,27.19,27.88,28.19,28.06,29.14,30.14,30.64,31.07,31.62,32.05,33.04,33.93,34.14,35.04,35.3,34.93,35.13,35.22,35.58,35.49,35.16,35.61,35.92,36.12,37.14,38.32,39.15,40.06,40.93,42.1,42.84,43.1
gbr,UK,103.9,104.31,105.07,106.91,107.56,107.62,106.78,106,105.6,105.4,105.09,103.63,103.12,102.43,101.81,103.21,104.7,104.44,103.83,101.27,98.93,99.47,98.22,96.51,94.79,94.24,93.7,91.27,90.95,88.95,83.06,83.71
geo,Georgia,58.97,57.69,56.36,55.17,56.27,59.35,64.31,66.07,65.62,66.09,64.3,63.35,63.43,63.61,58.42,54.61,52.04,51.31,60.06,61.03,59.9,63.24,63.67,61.9,61.78,67.54,72.82,68.66,67.56,64.56,63.18,63.86
gha,Ghana,23.38,23.88,24.33,24.52,24.77,25.12,25.4,25.7,25.87,26.17,26.61,27.14,27.32,27.48,27.39,27.33,27.23,27.23,26.94,26.93,27.04,27.19,27.15,27.46,27.88,28.08,28.75,29.29,29.99,30.51,30.98,31.32
gin,Guinea,15.63,15.8,15.97,16.15,16.38,16.47,16.57,16.75,17.23,17.62,17.79,18.12,18.34,18.58,18.77,18.92,19.26,19.51,19.71,19.86,20.11,20.37,20.56,20.89,21.34,21.55,21.96,22.25,22.59,22.92,23.24,23.54
gmb,Gambia,8.3,8.54,8.85,8.87,8.83,9.46,9.16,9.2,9.65,10.22,9.9,9.8,9.82,10.21,10.98,11.23,11.07,11.23,10.96,11.24,11.14,10.21,10.39,11.03,12.32,12.02,13.08,14.03,14.16,14.85,14.84,15.07
gnb,Guinea-Bissau,18.06,18.24,18.43,18.65,18.88,19.07,19.21,19.42,19.67,19.95,20.24,20.44,20.76,21.11,21.61,21.9,22.27,22.6,22.83,23.14,23.41,23.57,23.75,24.23,24.66,24.93,25.42,25.83,26.38,26.79,26.96,27.04
gnq,Equatorial Guinea,17.2,17.38,17.38,17.79,18.05,18.67,19.35,19.53,20.1,21.06,22,22.77,23.49,24.9,26.25,27.1,27.88,28.47,29.7,31.69,33.76,34.91,34.78,34.23,34.37,35.8,37.58,38.52,39.5,40.73,41.78,42.45
grc,Greece,82.22,82.76,86.11,87.59,88.65,87.92,88.66,87.02,86.96,88.16,89.19,91.03,92.55,90.31,92.68,91.95,90.38,89.77,89.69,85.27,85.59,80.85,82.14,80.97,80.81,80.97,83.93,82.08,82.28,82.41,83.46,83.59
grd,Grenada,50.32,51.2,52.76,55.84,55.97,53.4,52.76,50.96,50.13,48.74,49.44,50.6,54.06,54.35,52.88,52.42,54.81,57.73,59.15,60.71,63.77,65.98,68.64,68.81,69.89,70.52,70.61,70.76,73.19,75.06,75.43,74.96
gtm,Guatemala,10.8,11.17,13.08,14.28,15.13,13.25,12.45,14.08,16.07,15.77,18.68,16.83,17.77,18.09,19.61,20.29,20.77,19.03,19.51,21.56,22.85,23.05,23.3,23.69,23.54,25.22,25.37,25.7,26.38,25.98,24.77,25.11
guy,Guyana,33.46,32.28,30.4,32.09,30.04,31.45,34.93,35.68,35.46,37.65,48.77,42.05,42.48,40.18,40.33,40.81,38.97,42.24,42.49,41.28,43.45,44.42,46.7,47.06,47.97,47.81,48.15,48.53,48.74,48.79,49.21,49.31
hnd,Honduras,15.68,15.49,16.85,16.76,16.86,19.05,20.09,20.7,21.34,22.07,22.75,23.4,24.03,24.61,25.1,25.4,25.59,25.82,26.29,26.84,27.65,28.34,29.01,29.18,29.56,30.01,30.53,31.07,31.46,32.04,32.55,32.95
hrv,Croatia,58.58,64.92,61.88,61.79,61.55,59.68,63.84,67.52,68.56,67.96,64.05,63.78,62.79,65.5,67.95,68.34,68.06,70.32,70.68,66.54,71.01,71.27,73.56,74.71,74.94,76.63,68.67,70.12,69.36,68.29,65.12,66.09
hti,Haiti,29.67,29.37,29.82,30.13,30.46,31.01,31.25,31.86,31.52,32.61,33.21,34.02,34.47,35.2,35.93,36.46,36.54,36.74,36.75,36.81,36.69,37.49,37.61,37.7,37.92,38.23,38.39,38.49,38.82,39.09,38.93,38.79
hun,Hungary,57.44,58.74,62.23,65.35,66.36,67.77,67.85,72.11,73.64,75.08,72.89,71.23,70.74,72.46,70.75,68.77,66.78,68.62,66.88,69.18,65.03,66.15,65.52,64.65,64.52,66.81,64.35,66.11,65.16,65.33,64.41,64.96
idn,Indonesia,19.55,20.29,20.99,21.75,22.35,22.79,23.29,23.9,24.47,25.04,25.58,25.96,26.19,26.51,26.72,26.99,27.29,27.72,28.13,28.67,29.19,29.89,30.09,30.35,30.7,30.95,31.59,32.26,32.83,33.41,33.65,33.71
ind,India,12.1,12.24,12.5,12.59,12.99,13.34,13.48,13.63,13.84,13.92,14.02,14.16,14.34,14.41,14.36,14.53,14.9,15.31,15.61,15.97,16.51,16.98,17.59,18.48,19.21,20.28,21.11,21.95,22.53,22.87,23.17,23.52
irl,Ireland,93.77,95.73,97.48,93.7,90.94,91.06,90.83,93,92.07,95.17,97.89,98.45,94.03,96.36,98.74,102.02,103.54,102.73,108.59,103.87,98.06,99.13,99.86,99.11,99.21,97.5,96.62,92.79,95.47,95.51,87.44,83.67
irn,Iran,20.23,21.34,22.39,23.18,23.82,24.1,24.14,24.2,24.35,24.72,25.21,25.78,26.66,27.46,28.01,28.53,29.35,30.56,32.26,34.21,36.2,38.86,41.71,44.51,47.04,49.05,50.85,52.78,54.87,56.59,52.46,52.87
irq,Iraq,25.96,26.86,27.83,28.58,29.1,29.43,29.74,30.33,31.13,32.12,33.26,34.42,35.75,36.68,37.59,37.97,38.51,39.59,41.13,42.85,45.4,48.06,50.43,52.61,53.61,53.71,54.85,56.06,57.33,59.06,61,62.23
isl,Iceland,91.41,86.62,87.62,91.09,91.5,94.22,91.15,95.6,93.98,91.2,89.41,87.7,89.12,87.96,87.8,87.83,88.95,92.23,92.77,89.59,86.67,86.37,88.13,87.37,86.06,85.96,83.73,80.67,79.22,77.76,77.3,82.21
isr,Israel,76.57,80.51,82.58,83.59,86.71,91.46,93.02,93.01,94.04,94.83,92.67,89.74,88.41,88.32,88.68,90.53,90.21,92.17,89.98,87.18,83.33,83.36,80.98,82,79.76,78.49,78.35,78.67,77.21,77.25,70.98,68.98
ita,Italy,90.43,91.25,90.53,93.84,95.93,99.83,102.86,102.64,102.33,100.49,101.47,100.79,99.8,99.18,97.6,98.54,99.9,101.21,100.92,99.44,97.34,94.69,93.46,92.25,91.25,90.73,90.52,90.5,90.67,88.22,80.86,83.55
jam,Jamaica,44.86,44.19,45.98,47.71,49.07,50.94,55.54,58.26,59.01,61.97,64.09,66.26,62.23,60.77,58.27,55.62,54.05,55.07,58.65,66.86,67.54,68.96,69.04,69.38,76.34,77.77,77.58,77.34,77.26,77.98,76.27,77.79
jor,Jordan,34.78,35.57,35.5,37.43,38.28,40.31,42.64,43.89,45.34,46.84,49.61,51.94,54.62,57.22,62.42,67.48,69.88,66.9,67.72,68.36,68.9,70.75,72.92,74.48,74.99,73.79,72.53,70.79,68.58,68.04,68.97,69.49
jpn,Japan,32.38,33.98,34.97,36.22,38.29,41.09,43.03,45,46.25,46.71,47.42,48.26,47.56,48.21,50.64,52.77,54.95,56.19,57.5,58,59.32,60.82,60,61.5,61.89,62.63,64.12,63.78,63.81,63.65,62.63,62.28
kaz,Kazakhstan,39.39,32.56,32.11,32.58,32.98,33.78,33.83,34,32.98,33.36,34.05,34.13,33.65,33.46,33.09,34.98,36.37,36.63,36.74,36.22,37.36,36.74,38.39,35.62,34.44,34.26,33.78,33.17,33.42,32.97,32.49,32.24
ken,Kenya,15.7,15.98,16.23,16.37,16.52,16.46,16.41,16.63,16.87,17.12,17.78,17.87,18.5,19.25,19.63,19.92,20.18,20.42,20.86,21.65,22.87,23.52,24.11,24.66,25.27,25.84,26.55,27.28,28.15,29.02,29.65,30.15
kgz,Kyrgyz Republic,31.12,31.12,31.66,31.79,32.76,31.64,30.47,30.28,29.33,28.96,25.05,24.51,24.65,25.81,25.04,24.44,25.77,25.83,25.6,26.2,25.18,26.61,25,24.33,25.02,25.37,24.32,25.13,26.95,25.77,25.86,25.79
khm,Cambodia,16.98,17.25,17.66,18.16,18.74,19.26,19.73,20.09,20.44,20.84,21.15,21.58,21.96,22.25,22.73,23.31,23.79,24.47,24.99,25.54,26.1,26.79,27.54,28.38,29.19,29.97,30.73,31.42,32.11,32.77,33.21,33.55
kir,Kiribati,29.5,29.86,30.15,30.64,30.99,31.62,32.19,32.8,33.48,34.25,34.78,34.94,35.18,35.37,35.54,35.71,36.04,36.41,36.84,37.44,38,38.52,38.7,38.88,39.1,39.42,39.73,40.09,40.41,40.85,41.05,41.19
kna,St. Kitts and Nevis,69.85,61.41,59.14,58.9,62.67,64.91,65.06,64.71,63.32,63.6,62.63,60.49,62.55,60.31,59.68,59.8,62.71,65.77,65.43,66.12,67.15,69.36,69.41,70.53,69.19,67.64,65.19,64.92,64.71,64.84,64.98,65.65
kor,South Korea,12.68,13.17,13.64,14.34,15.28,16.66,18.1,19.15,19.79,20.51,21.11,21.53,22.22,23.4,25.03,27.34,29.34,31.22,32.65,33.83,34.26,34.73,35.29,36.35,37.01,37.42,37.73,37.51,38.27,38.69,38.37,38.7
kwt,Kuwait,42.55,41.64,48.12,51.59,51.78,54.09,62.08,60.83,67.61,67.58,64.47,75.81,73.95,71.86,69.54,64.51,68.45,79.98,84.09,80.04,69.06,72.05,75.26,73.63,78.11,74.74,70.19,63.08,61.01,59.7,57.1,60.79
